# FEN|result
5r2/2r1bpkp/2b1pN2/2p1P1PP/p1B3P1/P1R5/1P3R2/2K5 b - - 8 36|0
8/2r1bpkp/2b1pN2/2p1P1PP/p2r2P1/P1R2B2/1P3R2/2K5 w - - 15 40|1
8/2r1bpkp/2b1pN2/2p1P1PP/p2r2P1/P1R5/1P3R2/2KB4 b - - 16 40|0
5k2/1r2bp1p/4pN1P/1bp1P1P1/p2r2P1/P1R5/1PB5/2K2R2 w - - 3 44|1
5k2/1r2bp1N/4p2P/1bp1P1P1/p2r2P1/P1R5/1PB5/2K2R2 b - - 0 44|0
8/1rk1bp1P/4pN2/2p1P1P1/B2r2P1/P1R5/1P6/2K2b2 w - - 1 48|1
7Q/1rk1bp2/4pN2/2p1P1P1/B2r2P1/P1R5/1P6/2K2b2 b - - 2 48|0
1r6/2k1bp2/4pN2/1bp1P1P1/3r2P1/P1R5/1PB5/2K4Q w - - 9 52|1
1r6/2k1bp2/4pN2/1bp1P1PQ/3r2P1/P1R5/1PB5/2K5 b - - 10 52|0
1r6/1k3p2/3bp3/2p1P1PQ/3r2P1/P6R/1PB5/2K5 w - - 0 56|1
1r6/1k3p2/3bp3/2p1P1PQ/3r2P1/PR6/1PB5/2K5 b - - 1 56|0
8/5Q2/k2Pp3/2p3P1/8/Pr6/1P6/2KB2r1 w - - 0 60|1
8/8/k2PQ3/2p3P1/8/Pr6/1P6/2KB2r1 b - - 0 60|0
1r6/8/k2P4/2Q3P1/8/P7/8/3K4 w - - 1 64|1
1r6/8/k2P4/6P1/8/P7/2Q5/3K4 b - - 2 64|0
8/3P4/2k5/6P1/8/P7/8/3K4 w - - 1 68|1
3Q4/8/2k5/6P1/8/P7/8/3K4 b - - 2 68|0
8/8/3Q2P1/8/k7/P7/8/3K4 w - - 5 72|1
r1bqkb1r/pppnpppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4|0.5
r1bqkb1r/pppnpppp/3p1n2/8/P3P3/2N2N2/1PPP1PPP/R1BQKB1R b KQkq a3 0 4|0.5
r1bqk2r/ppp1bpp1/3p1n1p/P1n1p3/4P3/2NP1N2/1PP1BPPP/R1BQK2R w KQkq - 0 8|0.5
r1bqk2r/ppp1bpp1/3p1n1p/P1n1p3/1P2P3/2NP1N2/2P1BPPP/R1BQK2R b KQkq b3 0 8|0.5
r1bqk2r/4bpp1/1p1pnn1p/p3p3/1P2P3/2NP1N2/2P1BPPP/1RBQ1RK1 w kq a6 0 12|0.5
r1bqk2r/4bpp1/1p1pnn1p/P3p3/4P3/2NP1N2/2P1BPPP/1RBQ1RK1 b kq - 0 12|0.5
r2qk2r/4bpp1/b2p3p/p1nnp3/2P1P3/3PBN2/4BPPP/1R1Q1RK1 w kq - 0 16|0.5
r2qk2r/4bpp1/b2p3p/p1nPp3/2P5/3PBN2/4BPPP/1R1Q1RK1 b kq - 0 16|0.5
r1b1k2r/2q2pp1/5b1p/p1pPp3/2P5/R2P1N2/4BPPP/3Q1RK1 w kq - 4 20|0.5
r1b1k2r/2q2pp1/5b1p/p1pPp3/2P5/R2P4/3NBPPP/3Q1RK1 b kq - 5 20|0.5
5rk1/2q1bpp1/r6p/p1pPp3/2P5/R2P4/3NQPPP/5RK1 w - - 3 24|0.5
5rk1/2q1bpp1/r6p/p1pPp3/2P5/R2P4/3NQPPP/4R1K1 b - - 4 24|0.5
1q3rk1/6p1/r6p/2pPppb1/p1P5/R2P4/R2N1PPP/3Q2K1 w - - 2 28|0.5
1q3rk1/6p1/r6p/2pPppb1/R1P5/3P4/R2N1PPP/3Q2K1 b - - 0 28|0.5
1q3rk1/6p1/R6p/2pPppb1/2P5/3P4/R3QPPP/1r3NK1 w - - 7 32|0.5
1q3rk1/6p1/R6p/2pPppb1/2P5/3P2P1/R3QP1P/1r3NK1 b - - 0 32|0.5
q4rk1/4b1p1/7p/2pP4/2P1pP1P/3P4/R3QP2/1r3NK1 w - - 0 36|0.5
R4rk1/4b1p1/7p/2pP4/2P1pP1P/3P4/4QP2/1r3NK1 b - - 0 36|0.5
r2b2k1/6p1/7p/2pP4/2P1QP1P/3P4/5P2/1r3NK1 w - - 5 40|0.5
r2bQ1k1/6p1/7p/2pP4/2P2P1P/3P4/5P2/1r3NK1 b - - 6 40|0.5
r5k1/6p1/5b1p/2pP3P/2P1QP2/3P4/5PK1/r4N2 w - - 1 44|0.5
r5k1/6p1/5b1p/2pP3P/2P1QP2/3P4/3N1PK1/r7 b - - 2 44|0.5
3r2k1/6p1/7p/r1pP3P/2P2P2/3PQNK1/5P2/b7 w - - 9 48|0.5
3r2k1/6p1/4Q2p/r1pP3P/2P2P2/3P1NK1/5P2/b7 b - - 10 48|0.5
r7/6pk/2QP1b1p/2p4P/2P2P2/3P1NK1/5P2/r7 w - - 3 52|0.5
r7/6pk/3P1b1p/2pQ3P/2P2P2/3P1NK1/5P2/r7 b - - 4 52|0.5
8/3P2pk/5b1p/2Q4P/2P2P2/3P1N2/r4rK1/8 w - - 0 56|0.5
8/3P2pk/5b1p/7P/2P2P2/3P1N2/r4QK1/8 b - - 0 56|0.5
8/2bP3k/7p/4N1pP/2P2P2/3P2K1/8/8 w - - 4 60|0.5
8/2bP3k/7p/4N1pP/2P2PK1/3P4/8/8 b - - 5 60|0.5
3b4/8/5k1p/4N2P/2P2PK1/3P4/8/8 w - - 1 64|0.5
3b4/8/2N2k1p/7P/2P2PK1/3P4/8/8 b - - 2 64|0.5
2k5/8/6Np/5K1P/2P2P2/3P4/8/8 w - - 5 68|0.5
2k5/8/6Np/5K1P/2PP1P2/8/8/8 b - - 0 68|0.5
8/1k6/4K2p/2P1N2P/3P1P2/8/8/8 w - - 1 72|0.5
8/1k6/7p/2P1NK1P/3P1P2/8/8/8 b - - 2 72|0.5
8/8/2PP3p/2k1NK1P/5P2/8/8/8 w - - 1 76|0.5
8/3P4/2P4p/2k1NK1P/5P2/8/8/8 b - - 0 76|0.5
8/8/k1P4p/4NK1P/3Q1P2/8/8/8 w - - 7 80|0.5
8/8/k1P4p/4NK1P/1Q3P2/8/8/8 b - - 8 80|0.5
rnbqkb1r/pppp1pp1/4pn1p/6B1/2PP4/8/PP2PPPP/RN1QKBNR w KQkq - 0 4|1
rnbqkb1r/pppp1pp1/4pB1p/8/2PP4/8/PP2PPPP/RN1QKBNR b KQkq - 0 4|0
rnb1k2r/ppp2pp1/3ppq1p/8/2PP4/4P3/PP1bNPPP/R2QKB1R w KQkq - 0 8|1
rnb1k2r/ppp2pp1/3ppq1p/8/2PP4/4P3/PP1QNPPP/R3KB1R b KQkq - 0 8|0
rnb2rk1/2p1qpp1/p2pp2p/1p6/2PP1P2/2N1P1P1/PP1Q3P/R3KB1R w KQ b6 0 12|1
rnb2rk1/2p1qpp1/p2pp2p/1P6/3P1P2/2N1P1P1/PP1Q3P/R3KB1R b KQ - 0 12|0
r1b2rk1/4qpp1/2pppn1p/8/3P1P2/P1N1P1P1/1P1QB2P/R3K2R w KQ - 1 16|1
r1b2rk1/4qpp1/2pppn1p/8/3P1P2/P1N1P1P1/1P1QB2P/R4RK1 b - - 2 16|0
5rk1/4qpp1/r1p2n1p/4p3/3P4/P1N1PBPb/1P1Q3P/2R2RK1 w - - 4 20|1
5rk1/4qpp1/r1p2n1p/4p3/3P4/P1N1P1Pb/1P1Q2BP/2R2RK1 b - - 5 20|0
5rk1/q4pp1/r1p4p/8/4n3/P1R1P1PB/1P2Q2P/5RK1 w - - 3 24|1
5rk1/q4pp1/r1p4p/8/4n3/P2RP1PB/1P2Q2P/5RK1 b - - 4 24|0
q4rk1/3R1pp1/r6p/6n1/2p2RB1/P3P1P1/1P2Q2P/6K1 w - - 4 28|1
q4rk1/3R1pp1/r6p/6n1/2p2RBP/P3P1P1/1P2Q3/6K1 b - h3 0 28|0
1r4k1/5pp1/1r2n2p/q7/2R3BP/P3P1P1/1P1RQ2K/8 w - - 5 32|1
1r4k1/5pp1/1r2n2p/q7/6BP/P3P1P1/1PRRQ2K/8 b - - 6 32|0
4rnk1/5p2/1r5p/4q1p1/1P1R2BP/P3P1P1/2R1Q2K/8 w - - 1 36|1
4rnk1/5p2/1r5p/4q1pP/1P1R2B1/P3P1P1/2R1Q2K/8 b - - 0 36|0
6k1/r4p2/r3n2p/4q1pP/1P2P1B1/P5P1/R3Q2K/3R4 w - - 1 40|1
6k1/r4p2/r3n2p/3Rq1pP/1P2P1B1/P5P1/R3Q2K/8 b - - 2 40|0
r5k1/2q2p2/r6p/3R2nP/1P2P1B1/P5P1/RQ5K/8 w - - 1 44|1
r5k1/2q2p2/r6p/6nP/1P2P1B1/P2R2P1/RQ5K/8 b - - 2 44|0
r1q3k1/3R1p2/7p/4P1nP/1Pr5/P5P1/RQ5K/3B4 w - - 3 48|1
r1q3k1/3R1p2/7p/4P1nP/1Pr5/P5P1/R2Q3K/3B4 b - - 4 48|0
4q1k1/3R1p2/4P2p/3Q2nP/1P2r3/P5P1/3R3K/2rB4 w - - 1 52|1
4q1k1/3R1P2/7p/3Q2nP/1P2r3/P5P1/3R3K/2rB4 b - - 0 52|0
3Q1qk1/8/7p/7P/1Pr5/PB4P1/3R3K/2r5 w - - 4 56|1
5qk1/8/7p/7P/1Pr5/PB1Q2P1/3R3K/2r5 b - - 5 56|0
7k/8/5q1p/1P1Q3P/2r5/P5P1/3R3K/8 w - - 0 60|1
7k/8/5q1p/1P5P/2Q5/P5P1/3R3K/8 b - - 0 60|0
rnbqkbnr/1p1p1ppp/p3p3/2p5/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq c6 0 4|0
rnbqkbnr/1p1p1ppp/p3p3/2pP4/4P3/3B4/PPP2PPP/RNBQK1NR b KQkq - 0 4|1
rnbqkbnr/5ppp/p2p4/2pp4/Pp2P3/3B4/1PP2PPP/RNBQK1NR w KQkq - 0 8|0
rnbqkbnr/5ppp/p2p4/2pp4/Pp2P3/3B4/1PPN1PPP/R1BQK1NR b KQkq - 1 8|1
2b1kbnr/r3qppp/p1np4/2p5/Pp2p3/1N3P2/1PP1B1PP/R1BQK1NR w KQk - 1 12|0
2b1kbnr/r3qppp/p1np4/2pQ4/Pp2p3/1N3P2/1PP1B1PP/R1B1K1NR b KQk - 2 12|1
4kb1r/2r1qppp/p1npbn2/8/PppNpB2/5P2/1PPQB1PP/R3K1NR w KQk - 2 16|0
4kb1r/2r1qppp/p1npbn2/8/PppNpB2/5P2/1PPQB1PP/3RK1NR b Kk - 3 16|1
2b1kb1r/2r1qppp/p1n5/P2p4/1p1NnB2/2p5/1PP1B1PP/2QRK1NR w Kk - 0 20|0
2b1kb1r/2B1qppp/p1n5/P2p4/1p1Nn3/2p5/1PP1B1PP/2QRK1NR b Kk - 0 20|1
2b1k2r/2q2ppp/p1n5/P2p4/1p1Nn3/2P1QNb1/2P1B1P1/3RK2R w Kk - 2 24|0
2b1k2r/2q2ppp/p1n5/P2p4/1p1Nn3/2P1QNb1/2P1B1P1/3R1K1R b k - 3 24|1
2b2rk1/2q2ppp/1Qn5/Pp1p4/1p3b1R/2n2N2/2P1B1P1/3R1K2 w - - 2 28|0
2b2rk1/2q2ppp/1Qn5/Pp1p4/1p1N1b1R/2n5/2P1B1P1/3R1K2 b - - 3 28|1
2b2r1k/2b2p1p/8/Pp1p2R1/1p1n4/2n5/2P1B1P1/3R1K2 w - - 1 32|0
2b2r1k/2b2p1p/8/Pp1p2R1/1p1R4/2n5/2P1B1P1/5K2 b - - 0 32|1
2b2r1k/7p/8/bp1p1p1R/3Rn3/1P1B4/6P1/5K2 w - - 2 36|0
2b2r1k/7p/7R/bp1p1p2/3Rn3/1P1B4/6P1/5K2 b - - 3 36|1
2b2r2/6kp/8/1p1R1p2/4nb2/1P1B4/6P1/5K2 w - - 0 40|0
2b2r2/6kp/8/1p1R1p2/1P2nb2/3B4/6P1/5K2 b - - 0 40|1
5r2/R7/4bk2/5p2/1P2nb1p/3B4/6P1/5K2 w - - 4 44|0
5r2/8/4bk2/R4p2/1P2nb1p/3B4/6P1/5K2 b - - 5 44|1
8/8/4bk2/RB3p2/4nb1p/8/1r2K1P1/8 w - - 4 48|0
8/8/4bk2/RB3p2/4nb1p/8/1r4P1/5K2 b - - 5 48|1
8/8/4bk2/Rn3p2/5b1p/1r6/2K3P1/8 w - - 0 52|0
8/8/4bk2/Rn3p2/5b1p/1r6/6P1/3K4 b - - 1 52|1
R7/8/8/5pk1/2bn1b2/1r4p1/8/4K3 w - - 0 56|0
1R6/8/8/5pk1/2bn1b2/1r4p1/8/4K3 b - - 1 56|1
1R6/8/5k2/5p2/2bn1b2/1r6/6p1/3K4 w - - 0 60|0
8/8/1R3k2/5p2/2bn1b2/1r6/6p1/3K4 b - - 1 60|1
8/8/8/4kp2/1R1n1b2/8/4bK2/1r4b1 w - - 8 64|0
8/8/8/4kp2/1R1n1b2/8/4b1K1/1r4b1 b - - 9 64|1
8/8/8/3k1p2/3n1b2/4b3/1r2b3/7K w - - 6 68|0
8/8/8/3k1p2/3n1b2/4b3/1r2b1K1/8 b - - 7 68|1
rnbqkb1r/ppp2ppp/4pn2/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq d6 0 4|1
rnbqkb1r/ppp2ppp/4pn2/3p4/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 4|0
r2qkb1r/pp3ppp/2n1bn2/2pp2B1/8/2NP1N2/PPP1BPPP/R2QK2R w KQkq - 4 8|1
r2qkb1r/pp3ppp/2n1bn2/2pp4/7B/2NP1N2/PPP1BPPP/R2QK2R b KQkq - 5 8|0
r3k2r/pp2bppp/q1n1bn2/2p5/N2p4/3P1NB1/PPPQBPPP/R3K2R w KQkq - 2 12|1
r3k2r/pp2bppp/q1n1bn2/2N5/3p4/3P1NB1/PPPQBPPP/R3K2R b KQkq - 0 12|0
r4rk1/pp1b1ppp/1qn2n2/2b3N1/3p4/P2P2BP/1PPQBPP1/R3K2R w KQ - 1 16|1
r4rk1/pp1b1ppp/1qn2n2/2b3N1/3p4/P2P2BP/1PPQBPP1/R4RK1 b - - 2 16|0
2r2rk1/pp1bbpp1/1q3n1p/6N1/1P1p4/3P2BP/2PQBPP1/RR4K1 w - - 0 20|1
2r2rk1/pp1bbpp1/1q3n1p/8/1P1p4/3P1NBP/2PQBPP1/RR4K1 b - - 1 20|0
3r1rk1/pp1bbpp1/6qp/3nB3/1PNp4/3P3P/2PQBPP1/RR4K1 w - - 8 24|1
3r1rk1/pp1bbpp1/6qp/3n4/1PNB4/3P3P/2PQBPP1/RR4K1 b - - 0 24|0
3r1rk1/pp3pp1/6qp/3nN1b1/1P1B4/3P1b2/2P2P2/RR2Q1K1 w - - 0 28|1
3r1rk1/pp3pp1/6Np/3n2b1/1P1B4/3P1b2/2P2P2/RR2Q1K1 b - - 0 28|0
3r1r2/pp4pk/4Qbpp/8/1P1B4/3P1b2/2P2P2/RR4K1 w - - 4 32|1
3r1r2/pp4pk/4Qbpp/2B5/1P6/3P1b2/2P2P2/RR4K1 b - - 5 32|0
3r4/pp4pk/4Q1pp/8/1P1B1r2/3P1b2/2P2P2/RR2K3 w - - 5 36|1
3r4/pp4pk/6pp/4Q3/1P1B1r2/3P1b2/2P2P2/RR2K3 b - - 6 36|0
8/pp4pk/7p/1P2Qbp1/3r1r2/3P4/2PK1P2/R5R1 w - - 2 40|1
8/Rp4pk/7p/1P2Qbp1/3r1r2/3P4/2PK1P2/6R1 b - - 0 40|0
8/3R2p1/6kp/1P2Q1p1/5r2/8/2P1bP2/2K3R1 w - - 1 44|1
8/3R2p1/6kp/1P2Q1R1/5r2/8/2P1bP2/2K5 b - - 0 44|0
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/P3P3/1PP2PPP/RNBQKBNR w KQkq - 1 4|0
